Device Category,In-Market Segment,Affinity Category (reach),Day of Week,Source / Medium,Avg. % Conversion Probability,Avg. Session Duration,New Users,Sessions,Avg. Order Value,Avg. QTY
desktop,Financial Services/Investment Services,Travel/Travel Buffs/Beachbound Travelers,1,mall.googleplex.com / referral,13.6,0:05:09,7,11,$183.88,1.71
desktop,Business Services/Advertising & Marketing Services,Shoppers/Shopaholics,1,mall.googleplex.com / referral,13.6,0:04:12,6,29,$92.70,3.42
desktop,Software/Business & Productivity Software,Sports & Fitness/Sports Fans,1,mall.googleplex.com / referral,13.6,0:06:16,5,19,$58.67,13
desktop,Home & Garden/Home Decor,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,13.6,0:02:59,10,24,$71.85,15
desktop,Business Services/Advertising & Marketing Services,Travel/Business Travelers,0,mall.googleplex.com / referral,13.6,0:03:57,4,15,$62.29,5.5
desktop,Travel/Trips by Destination/Trips to North America/Trips to the US,Food & Dining/Coffee Shop Regulars,1,mall.googleplex.com / referral,13.6,0:02:30,4,14,$0.00,0
desktop,Travel/Car Rental,Food & Dining/Foodies,1,mall.googleplex.com / referral,13.6,0:06:46,4,15,$92.62,5.89
desktop,Financial Services/Investment Services,Food & Dining/Cooking Enthusiasts,1,mall.googleplex.com / referral,13.6,0:04:21,6,11,$0.00,0
desktop,Financial Services/Investment Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,1,mall.googleplex.com / referral,13.5,0:02:18,4,10,$0.00,0
desktop,Software/Business & Productivity Software,Banking & Finance/Avid Investors,0,mall.googleplex.com / referral,13.5,0:07:54,4,12,$0.00,0
desktop,Home & Garden/Home & Garden Services,Shoppers/Value Shoppers,1,mall.googleplex.com / referral,13.5,0:06:02,7,15,$73.80,1.5
